epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66361,1.15179,3.2102,1.30373,0.05897,0.53864,0.04754,0.02908,0.65542,2.94686,0.93298,6e-05,6e-05,6e-05
2,5.26551,1.10524,3.11213,1.29371,0.10128,0.92506,0.10285,0.07618,0.59766,2.91857,0.87884,0.000138614,0.000138614,0.000138614
3,6.59269,0.7951,2.97884,1.0454,0.10769,0.98361,0.3101,0.22445,0.95057,2.83387,1.07563,0.000215644,0.000215644,0.000215644
4,7.8401,0.73269,2.49976,0.9736,0.10923,0.99766,0.74865,0.57853,0.7391,2.56551,0.91524,0.00029109,0.00029109,0.00029109
5,9.17322,0.70707,2.10599,0.96206,0.10949,1,0.86142,0.66126,0.63756,2.52616,0.82852,0.000364952,0.000364952,0.000364952
6,10.6028,0.71047,2.02248,0.9421,0.10949,1,0.88906,0.68991,0.72448,2.46347,0.84903,0.00043723,0.00043723,0.00043723
7,11.8042,0.6709,1.75162,0.91385,0.10949,1,0.90425,0.6615,0.70825,2.42096,0.84646,0.000507924,0.000507924,0.000507924
8,13.0465,0.69742,1.56328,0.9271,0.10949,1,0.93626,0.73593,0.61615,2.35359,0.82415,0.000577034,0.000577034,0.000577034
9,14.0991,0.73531,1.3118,0.96187,0.10949,1,0.93065,0.72551,0.65407,2.29727,0.83585,0.00064456,0.00064456,0.00064456
10,15.1497,0.73103,1.09622,0.95879,0.10949,1,0.86514,0.63965,0.6508,2.2769,0.8325,0.000710502,0.000710502,0.000710502
11,16.2507,0.69109,0.9693,0.95375,0.10949,1,0.96153,0.76611,0.71004,2.28087,0.85781,0.00077486,0.00077486,0.00077486
12,17.3133,0.64637,0.84941,0.92787,1,0.9592,0.995,0.86056,0.6383,2.14901,0.85041,0.000837634,0.000837634,0.000837634
13,18.49,0.62706,0.75539,0.94604,1,0.90093,0.995,0.86998,0.57767,1.91998,0.83077,0.000898824,0.000898824,0.000898824
14,19.7055,0.61259,0.72758,0.94645,1,0.95845,0.995,0.87325,0.60341,1.7799,0.83497,0.00095843,0.00095843,0.00095843
15,20.7942,0.62724,0.67682,0.93556,0.99069,0.99684,0.99486,0.84697,0.64878,1.38202,0.83284,0.00101645,0.00101645,0.00101645
16,21.9168,0.58501,0.6372,0.91324,0.99301,0.9987,0.99486,0.87405,0.59796,1.2422,0.82374,0.00107289,0.00107289,0.00107289
17,23.0991,0.62497,0.63187,0.94711,0.98323,0.99766,0.99481,0.86684,0.59221,1.13174,0.82077,0.00112774,0.00112774,0.00112774
18,24.3931,0.5896,0.60954,0.92517,1,0.99478,0.995,0.85725,0.59196,0.89069,0.82536,0.00118101,0.00118101,0.00118101
19,25.5136,0.60667,0.61186,0.95152,1,0.99224,0.995,0.87111,0.57873,0.78712,0.83319,0.0012327,0.0012327,0.0012327
20,26.6357,0.5774,0.56639,0.92616,1,0.99926,0.995,0.87237,0.57568,0.72508,0.84708,0.0012828,0.0012828,0.0012828
21,27.8307,0.58631,0.57123,0.91693,0.99974,1,0.995,0.90236,0.51829,0.62283,0.83277,0.00133132,0.00133132,0.00133132
22,28.8921,0.59345,0.56457,0.93367,0.99967,1,0.995,0.89119,0.53301,0.58943,0.80881,0.00137825,0.00137825,0.00137825
23,29.9803,0.60898,0.54348,0.90375,0.99965,1,0.995,0.89783,0.51684,0.56159,0.79865,0.0014236,0.0014236,0.0014236
24,31.0734,0.55732,0.59172,0.90826,0.99979,1,0.995,0.88767,0.5405,0.54042,0.82492,0.00146737,0.00146737,0.00146737
25,32.1765,0.60336,0.55007,0.90947,0.99978,1,0.995,0.88389,0.55659,0.54929,0.84891,0.00150955,0.00150955,0.00150955
26,33.2,0.5811,0.54388,0.92045,0.99984,1,0.995,0.8998,0.48503,0.5558,0.8379,0.001505,0.001505,0.001505
27,34.4482,0.53552,0.52947,0.90413,0.99988,1,0.995,0.88535,0.53803,0.54532,0.84513,0.0014852,0.0014852,0.0014852
28,35.7234,0.63304,0.56067,0.92685,0.99976,1,0.995,0.90755,0.46258,0.52334,0.81008,0.0014654,0.0014654,0.0014654
29,36.8698,0.52216,0.50974,0.88898,0.9998,1,0.995,0.87516,0.55221,0.5224,0.82231,0.0014456,0.0014456,0.0014456
