epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71488,2.31568,87.1318,2.90571,0.90415,0.94993,0.95274,0.36522,1.12679,50.811,0.78182,0.0002,0.0002,0.0002
2,7.29883,1.50152,1.36684,1.46725,0.77246,0.83482,0.80279,0.14569,1.12079,29.56,1.22369,0.000416535,0.000416535,0.000416535
3,9.84644,1.19827,0.96789,1.26819,0.71473,0.90398,0.80243,0.14103,1.4405,14.8288,1.28157,0.00062944,0.00062944,0.00062944
4,12.0772,1.29089,0.9309,1.34407,0.90623,0.97658,0.96111,0.42216,1.01739,10.1217,0.84414,0.000838715,0.000838715,0.000838715
5,14.2982,1.32462,0.8532,1.34674,0.92408,0.82668,0.94348,0.48182,0.83311,6.5534,0.71567,0.00104436,0.00104436,0.00104436
6,16.5381,1.20293,0.93115,1.27841,0.91123,0.26444,0.50765,0.29124,0.70637,7.44207,0.59981,0.00124637,0.00124637,0.00124637
7,18.6573,1.27505,0.86972,1.34098,0.03759,0.95082,0.04303,0.02307,0.84322,8.57081,0.76005,0.00144476,0.00144476,0.00144476
8,20.9817,1.13713,0.7664,1.24865,0.72196,0.18267,0.20134,0.05653,1.53857,8.2961,1.17675,0.00163952,0.00163952,0.00163952
9,23.0078,1.09494,0.77876,1.18154,0.91163,0.79722,0.90132,0.19919,1.25204,8.95162,1.12934,0.00183064,0.00183064,0.00183064
10,25.1729,1.11214,0.72097,1.22276,0.87038,0.89696,0.88308,0.16541,1.38165,16.763,1.37128,0.0018515,0.0018515,0.0018515
11,27.3878,1.10417,0.74806,1.22663,0.97943,0.9719,0.98997,0.25577,1.36468,17.0532,1.26806,0.001835,0.001835,0.001835
12,29.5526,1.05914,0.70863,1.20388,0.98815,0.97638,0.98848,0.18695,1.49312,17.9659,1.49795,0.0018185,0.0018185,0.0018185
13,31.6653,1.18092,0.73583,1.26635,0.98833,0.99136,0.99339,0.43157,1.02054,39.8805,0.83911,0.001802,0.001802,0.001802
14,33.8436,1.08793,0.72559,1.23607,0.81188,0.86923,0.92087,0.5662,0.67896,35.0088,0.61027,0.0017855,0.0017855,0.0017855
15,35.9576,1.06909,0.7545,1.1884,0.66669,0.59485,0.70588,0.3001,0.8421,13.0063,0.73914,0.001769,0.001769,0.001769
16,38.1662,0.97398,0.62646,1.14609,0.81504,0.53864,0.71859,0.39685,0.66512,5.60501,0.60406,0.0017525,0.0017525,0.0017525
17,40.456,0.97787,0.66471,1.1555,0.9262,0.91101,0.88261,0.21259,1.29347,10.0057,1.21963,0.001736,0.001736,0.001736
18,42.6381,1.01956,0.67258,1.17169,0.93006,0.92506,0.89067,0.15394,1.4479,13.4458,1.63701,0.0017195,0.0017195,0.0017195
