epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2483,2.12333,2.26234,2.20323,0.08034,0.38795,0.05356,0.00869,1.31935,inf,2.56174,0.0003,0.0003,0.0003
2,71.1,1.57597,1.22146,1.72946,0.16089,0.40241,0.1461,0.03243,1.24152,313.877,2.21012,0.000618977,0.000618977,0.000618977
3,117.723,1.5102,1.07454,1.68564,0.00573,0.1494,0.00324,0.0009,1.61261,inf,27.9115,0.000936898,0.000936898,0.000936898
4,162.379,1.49812,1.08345,1.68434,0,0,0,0,nan,nan,nan,0.00125376,0.00125376,0.00125376
5,200.123,1.36104,0.89481,1.55994,0.00237,0.03614,0.00124,0.00037,nan,nan,nan,0.00156957,0.00156957,0.00156957
6,231.628,1.39639,0.87176,1.56609,0.00311,0.0241,0.00105,0.00034,1.63343,1348.4,5.54614,0.00188432,0.00188432,0.00188432
7,273.977,1.45184,0.94645,1.60305,0.00247,0.03614,0.00084,0.00019,nan,nan,nan,0.0019802,0.0019802,0.0019802
8,316.049,1.4192,0.92454,1.60029,0,0,0,0,nan,nan,nan,0.0019769,0.0019769,0.0019769
9,342.572,1.4203,0.8775,1.58791,0,0,0,0,nan,nan,nan,0.0019736,0.0019736,0.0019736
10,377.554,1.4354,0.88298,1.58257,0,0,0,0,nan,nan,nan,0.0019703,0.0019703,0.0019703
11,411.521,1.45187,0.94005,1.6149,0.01983,0.1253,0.0092,0.00259,nan,nan,nan,0.001967,0.001967,0.001967
12,448.849,1.38536,0.8988,1.53648,0,0,0,0,nan,nan,nan,0.0019637,0.0019637,0.0019637
13,473.174,1.39,0.86846,1.55797,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
14,501.089,1.37127,0.86242,1.53418,0,0,0,0,nan,nan,nan,0.0019571,0.0019571,0.0019571
15,539.047,1.43859,0.85868,1.61661,0,0,0,0,1.80255,217.382,1.88756,0.0019538,0.0019538,0.0019538
16,572.459,1.34222,0.86098,1.51669,0,0,0,0,2.0369,6.47369,1.67361,0.0019505,0.0019505,0.0019505
17,609.382,1.38034,0.84875,1.54001,0.8602,0.91084,0.92281,0.47772,0.74294,46.0726,0.80417,0.0019472,0.0019472,0.0019472
18,635.924,1.26446,0.7659,1.45856,0.84176,0.8241,0.8235,0.12684,1.58607,52.9586,1.57554,0.0019439,0.0019439,0.0019439
19,672.597,1.33467,0.74447,1.51057,0.94153,0.92289,0.98016,0.40979,1.04125,33.2344,0.93449,0.0019406,0.0019406,0.0019406
20,697.959,1.27213,0.7821,1.44563,0.84503,0.95919,0.94425,0.27434,1.20418,58.5866,1.25811,0.0019373,0.0019373,0.0019373
21,741.202,1.33958,0.76716,1.52006,0.84799,0.84096,0.91573,0.29841,1.01544,101.083,1.063,0.001934,0.001934,0.001934
22,774.552,1.32595,0.75332,1.51315,0.9258,0.95181,0.98488,0.37615,0.9584,106.831,0.97508,0.0019307,0.0019307,0.0019307
23,833.438,1.26549,0.73079,1.46816,0.99184,0.99277,0.995,0.29834,1.26223,14.3656,1.20312,0.0019274,0.0019274,0.0019274
24,862.935,1.33652,0.71503,1.49963,0.92908,0.98313,0.97836,0.58868,0.67054,32.8888,0.72676,0.0019241,0.0019241,0.0019241
25,902.658,1.29301,0.754,1.47391,0.84665,0.97117,0.95086,0.44556,0.88006,60.5881,0.87254,0.0019208,0.0019208,0.0019208
26,925.631,1.25266,0.71067,1.44104,0.93673,0.92758,0.97973,0.37397,1.11399,7.40819,0.98437,0.0019175,0.0019175,0.0019175
27,961.192,1.27613,0.71717,1.44284,0.98802,0.99331,0.99421,0.44801,0.96856,8.94129,0.98185,0.0019142,0.0019142,0.0019142
28,990.389,1.25984,0.6892,1.44709,0.93677,0.93012,0.97511,0.42705,0.86177,28.7288,0.83687,0.0019109,0.0019109,0.0019109
29,1014.49,1.29107,0.72876,1.46551,0.03265,0.30294,0.02403,0.00428,1.79412,61.3,1.43179,0.0019076,0.0019076,0.0019076
30,1036.63,1.25297,0.69801,1.43984,0.06446,0.45301,0.05934,0.0113,1.69689,76.6875,1.35148,0.0019043,0.0019043,0.0019043
31,1071.18,1.24657,0.68734,1.44014,0.44304,0.60964,0.45272,0.25792,0.7831,51.0067,0.84293,0.001901,0.001901,0.001901
32,1102.97,1.20819,0.65757,1.40009,0.97668,0.94699,0.98995,0.4242,0.95208,25.259,0.86478,0.0018977,0.0018977,0.0018977
33,1142.77,1.2073,0.66334,1.41239,0.80012,0.79094,0.87744,0.42614,0.92761,7.24419,0.85039,0.0018944,0.0018944,0.0018944
34,1168.12,1.16964,0.63175,1.38549,0.89958,0.99036,0.97523,0.61334,0.68104,14.7504,0.7063,0.0018911,0.0018911,0.0018911
35,1197.19,1.19329,0.66047,1.39108,1,0.99712,0.995,0.42121,0.95628,6.27958,0.84006,0.0018878,0.0018878,0.0018878
36,1229.73,1.17403,0.6707,1.36613,0.99121,0.99277,0.99485,0.77131,0.4461,6.94043,0.56573,0.0018845,0.0018845,0.0018845
37,1264.6,1.15696,0.61114,1.35591,0.99783,0.99518,0.995,0.63919,0.7346,5.33818,0.6533,0.0018812,0.0018812,0.0018812
38,1285.09,1.15353,0.59433,1.35637,0.98197,0.99759,0.99146,0.53854,0.84475,28.5011,0.79005,0.0018779,0.0018779,0.0018779
39,1320.32,1.13603,0.5945,1.34611,0.98974,1,0.99498,0.64946,0.67643,15.2441,0.67769,0.0018746,0.0018746,0.0018746
40,1352.79,1.17222,0.5992,1.37458,0.99857,1,0.995,0.40976,1.11185,8.90838,0.9408,0.0018713,0.0018713,0.0018713
41,1373.83,1.17243,0.60443,1.36438,0.99054,0.98795,0.99481,0.63263,0.68515,2.80283,0.66336,0.001868,0.001868,0.001868
42,1412.36,1.11896,0.57232,1.33952,0.98957,0.99036,0.99473,0.77297,0.41801,5.65637,0.54807,0.0018647,0.0018647,0.0018647
43,1447.83,1.15317,0.59382,1.36347,0.964,0.98072,0.99343,0.38909,1.09828,15.3018,0.96295,0.0018614,0.0018614,0.0018614
44,1471.04,1.08644,0.55972,1.30265,0.99033,0.98666,0.99486,0.43026,1.03493,1.68539,0.88346,0.0018581,0.0018581,0.0018581
45,1494.49,1.188,0.5973,1.39276,0.99275,0.98976,0.99485,0.40231,1.00103,3.08983,0.88938,0.0018548,0.0018548,0.0018548
46,1526.68,1.20294,0.5943,1.38547,0.97383,0.98615,0.99387,0.52321,0.84587,11.4837,0.7674,0.0018515,0.0018515,0.0018515
47,1549.71,1.20899,0.61526,1.40414,0.99217,0.99518,0.9942,0.31993,1.25999,7.04964,1.07791,0.0018482,0.0018482,0.0018482
48,1576.24,1.16144,0.58667,1.36076,0.98501,1,0.99459,0.6353,0.61585,9.84386,0.62365,0.0018449,0.0018449,0.0018449
49,1612.69,1.16933,0.59523,1.3854,0.98362,0.99518,0.99218,0.57793,0.73367,83.2216,0.70903,0.0018416,0.0018416,0.0018416
50,1645.15,1.13333,0.58024,1.36582,0.98874,1,0.9949,0.40453,1.10735,17.0901,0.96485,0.0018383,0.0018383,0.0018383
51,1682.39,1.13262,0.58315,1.3225,0.98052,0.99759,0.99418,0.57299,0.77452,65.8712,0.69481,0.001835,0.001835,0.001835
52,1719.67,1.11499,0.56558,1.31911,0.99044,0.99885,0.99498,0.58391,0.78688,12.2497,0.69841,0.0018317,0.0018317,0.0018317
53,1751.52,1.09166,0.56603,1.31219,0.97678,0.99518,0.9936,0.70032,0.52794,6.38643,0.59422,0.0018284,0.0018284,0.0018284
54,1790.65,1.07486,0.54692,1.31166,0.99566,0.99759,0.995,0.52903,0.92203,0.60328,0.78595,0.0018251,0.0018251,0.0018251
