epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5981,2.36977,2.83981,2.29744,0.77395,0.47307,0.63334,0.17049,1.05725,1183.35,1.10798,0.0002,0.0002,0.0002
2,43.4006,1.62402,1.18184,1.67016,0.582,0.6815,0.44369,0.06429,1.58786,86.4977,2.13243,0.000419307,0.000419307,0.000419307
3,74.4616,1.51479,1.01465,1.51997,0.04018,0.77986,0.03818,0.00788,1.51955,inf,2.15904,0.000637888,0.000637888,0.000637888
4,103.003,1.44334,0.84486,1.50051,0.00085,0.01639,0.00033,0.0001,2.09968,inf,9.11583,0.000855743,0.000855743,0.000855743
5,130.63,1.41376,0.81838,1.48078,0,0,0,0,nan,nan,nan,0.00107287,0.00107287,0.00107287
6,161.333,1.36316,0.80578,1.48351,0.00028,0.00703,0.00014,4e-05,2.06668,inf,13.5279,0.00128927,0.00128927,0.00128927
7,185.354,1.33007,0.84063,1.39731,0,0,0,0,nan,nan,nan,0.00150495,0.00150495,0.00150495
8,209.124,1.50065,0.8804,1.5544,0,0,0,0,nan,nan,nan,0.0017199,0.0017199,0.0017199
9,234.867,1.34153,0.81587,1.42132,0,0,0,0,nan,nan,nan,0.00193413,0.00193413,0.00193413
10,260.305,1.34285,0.8051,1.41344,0,0,0,0,nan,nan,nan,0.0019703,0.0019703,0.0019703
11,284.776,1.33034,0.74177,1.41086,0,0,0,0,nan,nan,nan,0.001967,0.001967,0.001967
12,304.22,1.41399,0.80662,1.51124,0,0,0,0,nan,nan,nan,0.0019637,0.0019637,0.0019637
13,324.363,1.28537,0.74828,1.3826,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
14,349.491,1.29972,0.81602,1.39847,0,0,0,0,nan,nan,nan,0.0019571,0.0019571,0.0019571
15,367.316,1.3685,0.95007,1.47999,0,0,0,0,nan,nan,nan,0.0019538,0.0019538,0.0019538
16,383.375,1.30788,0.7313,1.39984,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
17,407.721,1.23516,0.69172,1.34829,0.3038,0.16862,0.17406,0.0309,1.72185,551.912,4.31652,0.0019472,0.0019472,0.0019472
18,430.846,1.26557,1.14738,1.37684,0.4732,0.62763,0.48383,0.29258,0.66041,102.085,0.63156,0.0019439,0.0019439,0.0019439
19,451.772,1.33287,0.93856,1.44489,0.27316,0.15925,0.10512,0.03255,1.82714,17.8217,2.07568,0.0019406,0.0019406,0.0019406
20,471.55,1.18181,0.74681,1.33014,0.85536,0.88636,0.93819,0.45981,0.8848,98.989,0.77435,0.0019373,0.0019373,0.0019373
21,493.8,1.11108,8.31661,1.20785,0.88427,0.95082,0.9752,0.3311,1.10535,68.6718,1.02419,0.001934,0.001934,0.001934
22,518.007,1.22027,0.73652,1.36155,0.90019,0.90632,0.90284,0.1552,1.5695,79.4378,1.5142,0.0019307,0.0019307,0.0019307
23,541.582,1.21973,0.66654,1.32732,0.95139,0.96265,0.99099,0.36623,1.17867,174.332,0.98106,0.0019274,0.0019274,0.0019274
24,567.218,1.14632,0.64846,1.29144,0.65331,0.54333,0.53621,0.33278,0.74229,229.579,0.64952,0.0019241,0.0019241,0.0019241
25,592.377,1.10758,0.60504,1.26064,0.33623,0.38173,0.2511,0.16548,0.70198,206.768,0.72931,0.0019208,0.0019208,0.0019208
26,616.959,1.18717,0.6474,1.31683,0.9646,0.97658,0.99136,0.69151,0.56853,67.1147,0.5683,0.0019175,0.0019175,0.0019175
27,640.391,1.10125,0.6052,1.24606,0.9683,0.97658,0.99179,0.45335,0.94953,75.1127,0.78271,0.0019142,0.0019142,0.0019142
28,663.287,1.12579,0.58309,1.27625,0.84681,0.88028,0.93829,0.55932,0.69001,120.941,0.653,0.0019109,0.0019109,0.0019109
29,687.062,1.22241,0.6574,1.36251,0.92615,0.96019,0.97759,0.50536,0.79824,33.3605,0.69227,0.0019076,0.0019076,0.0019076
