epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67351,2.11774,2.97074,2.0516,0.02684,0.73735,0.17846,0.02791,0.87954,15.6084,1.10987,0.0003,0.0003,0.0003
2,9.26875,1.55685,2.06481,1.44366,0.09668,0.95181,0.85236,0.20711,0.94036,15.5511,0.84176,0.000618977,0.000618977,0.000618977
3,13.3455,1.52031,1.43972,1.53839,0.0364,1,0.20622,0.10063,0.86171,17.7544,0.75599,0.000936898,0.000936898,0.000936898
4,17.9666,1.42836,1.26619,1.57788,0.31759,0.70987,0.33513,0.08365,0.94861,12.0591,0.96307,0.00125376,0.00125376,0.00125376
5,21.5682,1.32102,1.05535,1.47319,0.99799,0.72771,0.93275,0.46856,0.75128,8.44013,0.72588,0.00156957,0.00156957,0.00156957
6,24.477,1.25664,0.95127,1.40782,0.69309,0.67952,0.52888,0.08888,1.2469,9.76508,1.4723,0.00188432,0.00188432,0.00188432
7,27.3637,1.32761,1.0009,1.45819,0.87574,0.72048,0.8053,0.32448,0.84656,24.5608,0.90822,0.0019802,0.0019802,0.0019802
8,30.2065,1.36745,1.11441,1.47465,0.87713,0.69157,0.80822,0.37539,0.80172,28.9006,0.82581,0.0019769,0.0019769,0.0019769
9,33.012,1.28371,0.94037,1.44294,0.97108,0.97091,0.99117,0.48972,0.7673,21.3004,0.79032,0.0019736,0.0019736,0.0019736
10,35.8724,1.26723,0.92735,1.44635,0.80588,0.89398,0.93146,0.6557,0.5599,22.8876,0.60501,0.0019703,0.0019703,0.0019703
11,38.6986,1.2703,1.01794,1.41494,0.79142,0.87774,0.88948,0.57133,0.58713,46.7345,0.67613,0.001967,0.001967,0.001967
12,41.5518,1.20415,0.90689,1.35601,0.97309,0.99518,0.99279,0.29479,1.07386,44.7428,1.19801,0.0019637,0.0019637,0.0019637
13,45.1275,1.29015,0.89922,1.43481,0.8789,0.94436,0.97245,0.6411,0.60338,17.3978,0.64785,0.0019604,0.0019604,0.0019604
14,48.0439,1.21042,0.87298,1.36593,0.87537,0.89697,0.94362,0.62888,0.47566,42.2811,0.57774,0.0019571,0.0019571,0.0019571
15,50.8727,1.28843,0.86401,1.41319,0.97541,0.99759,0.99247,0.61897,0.62966,40.918,0.65986,0.0019538,0.0019538,0.0019538
