epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94979,1.21317,2.46358,1.21482,0.0247,1,0.79591,0.56137,0.74783,2.62195,0.83316,0.0005,0.0005,0.0005
2,17.3957,1.09814,1.13174,1.165,0.87853,0.8888,0.8976,0.438,1.66147,1.67619,1.38572,0.0010099,0.0010099,0.0010099
3,24.4354,1.02409,0.84491,1.11316,0.95335,0.99277,0.96608,0.68455,1.06033,1.19617,1.00354,0.00150951,0.00150951,0.00150951
4,31.5363,1.04711,0.83531,1.12453,0.95279,0.98554,0.98678,0.65385,1.27806,0.86745,1.09527,0.0019406,0.0019406,0.0019406
5,38.0297,0.97192,0.83839,1.09471,0.74573,0.9759,0.75711,0.55853,0.97463,1.00716,0.99704,0.0019208,0.0019208,0.0019208
6,44.7592,1.00775,0.78038,1.11707,0.92558,0.95907,0.9815,0.83181,0.6408,0.75905,0.86571,0.001901,0.001901,0.001901
7,51.5379,0.91663,0.73281,1.06079,0.97758,1,0.99174,0.8631,0.56496,0.56341,0.84179,0.0018812,0.0018812,0.0018812
8,58.2075,0.91118,0.68331,1.06328,0.98712,0.99036,0.99298,0.81446,0.76096,0.64086,0.89046,0.0018614,0.0018614,0.0018614
9,64.8637,0.90503,0.65251,1.05201,0.82909,0.91176,0.90481,0.75376,0.65691,0.79017,0.89314,0.0018416,0.0018416,0.0018416
10,71.6362,0.88489,0.61808,1.04897,0.97594,0.99759,0.99411,0.86144,0.58476,0.50718,0.83234,0.0018218,0.0018218,0.0018218
11,78.3432,0.83443,0.58782,1.02394,0.96247,0.99759,0.99087,0.87668,0.49691,0.51192,0.80666,0.001802,0.001802,0.001802
12,85.2572,0.8324,0.56782,1.022,0.97872,0.99726,0.99426,0.86947,0.56853,0.51564,0.84622,0.0017822,0.0017822,0.0017822
13,92.0097,0.87835,0.55188,1.04225,0.99901,1,0.995,0.80788,0.74543,0.48412,0.8918,0.0017624,0.0017624,0.0017624
14,98.9461,0.86781,0.59164,1.03302,0.91513,0.98736,0.96723,0.82305,0.50008,0.77278,0.83492,0.0017426,0.0017426,0.0017426
15,105.57,0.88252,0.55626,1.03579,0.9952,0.99893,0.99483,0.88543,0.50308,0.41757,0.81133,0.0017228,0.0017228,0.0017228
16,112.384,0.84371,0.5298,1.01796,0.99014,1,0.99307,0.89524,0.46921,0.37656,0.80656,0.001703,0.001703,0.001703
17,118.797,0.8105,0.51058,1.00451,0.99472,1,0.995,0.8661,0.5685,0.39232,0.82878,0.0016832,0.0016832,0.0016832
18,125.089,0.78832,0.49942,0.99684,0.99968,1,0.995,0.91308,0.40395,0.305,0.7896,0.0016634,0.0016634,0.0016634
19,131.66,0.7464,0.50324,0.98169,0.99747,1,0.995,0.90431,0.4289,0.3109,0.79494,0.0016436,0.0016436,0.0016436
20,138.53,0.76541,0.49092,0.98786,0.97903,1,0.99387,0.90442,0.43958,0.34183,0.79468,0.0016238,0.0016238,0.0016238
21,145.02,0.80111,0.4809,0.99844,0.97177,1,0.99272,0.89724,0.43144,0.36748,0.79895,0.001604,0.001604,0.001604
22,151.848,0.74973,0.46054,0.98852,0.9828,1,0.98993,0.89647,0.46637,0.36143,0.80341,0.0015842,0.0015842,0.0015842
23,158.857,0.78841,0.45891,1.01126,0.95743,1,0.98678,0.89824,0.41826,0.46739,0.79092,0.0015644,0.0015644,0.0015644
24,165.755,0.80274,0.45509,1.00571,0.97017,1,0.9918,0.89696,0.46865,0.39364,0.80193,0.0015446,0.0015446,0.0015446
25,172.304,0.85077,0.467,1.0179,0.99655,1,0.995,0.88217,0.52841,0.44137,0.82856,0.0015248,0.0015248,0.0015248
26,178.692,0.79313,0.45064,1.01132,0.99785,1,0.995,0.90786,0.42337,0.31039,0.80196,0.001505,0.001505,0.001505
27,185.112,0.7685,0.43671,0.99375,0.96939,1,0.99309,0.91453,0.39155,0.32268,0.78588,0.0014852,0.0014852,0.0014852
28,191.88,0.73198,0.44924,0.97108,0.99893,1,0.995,0.91228,0.4098,0.28739,0.791,0.0014654,0.0014654,0.0014654
