epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.28848,1.11316,3.2074,1.28239,0.05949,0.54333,0.04821,0.02907,0.64954,2.94372,0.92859,6e-05,6e-05,6e-05
2,4.69545,1.01817,3.11505,1.22181,0.10487,0.95785,0.12025,0.08902,0.60473,2.91049,0.85022,0.000138614,0.000138614,0.000138614
3,6.36236,0.75224,2.89965,1.03144,0.10667,0.97424,0.43717,0.33573,0.87389,2.76517,0.988,0.000215644,0.000215644,0.000215644
4,7.6611,0.73938,2.46976,0.97213,0.10949,1,0.84367,0.63907,0.69859,2.55079,0.86211,0.00029109,0.00029109,0.00029109
5,8.78463,0.77224,2.2379,0.95323,0.10949,1,0.88502,0.65752,0.66831,2.53395,0.82988,0.000364952,0.000364952,0.000364952
6,10.0406,0.71461,2.04874,0.93198,0.10949,1,0.91319,0.70084,0.74223,2.46001,0.84868,0.00043723,0.00043723,0.00043723
7,11.2196,0.71963,1.81615,0.93663,0.10949,1,0.92152,0.69603,0.73617,2.42957,0.85379,0.000507924,0.000507924,0.000507924
8,12.2977,0.68729,1.49167,0.94519,0.10949,1,0.9355,0.66677,0.67218,2.38839,0.83399,0.000577034,0.000577034,0.000577034
9,13.3775,0.70989,1.38332,0.93725,0.10949,1,0.9196,0.66543,0.65555,2.32349,0.83132,0.00064456,0.00064456,0.00064456
10,14.5711,0.67775,1.07996,0.95185,0.10949,1,0.90209,0.70416,0.64091,2.2759,0.82982,0.000710502,0.000710502,0.000710502
11,15.6374,0.66548,0.92784,0.97617,0.10949,1,0.94802,0.79868,0.58196,2.23468,0.81656,0.00077486,0.00077486,0.00077486
12,16.7094,0.65646,0.84489,0.94982,1,0.76915,0.995,0.87941,0.54787,2.05006,0.81344,0.000837634,0.000837634,0.000837634
13,17.7825,0.64935,0.72773,0.96757,1,0.91108,0.995,0.87855,0.57496,1.80662,0.82047,0.000898824,0.000898824,0.000898824
14,18.8375,0.65393,0.7393,0.96662,1,0.99451,0.995,0.88728,0.54867,1.62947,0.8137,0.00095843,0.00095843,0.00095843
15,19.9006,0.61868,0.687,0.93395,0.99953,0.99766,0.995,0.87762,0.59026,1.31392,0.81891,0.00101645,0.00101645,0.00101645
16,20.9292,0.64353,0.64932,0.96368,0.99546,0.99766,0.99495,0.8723,0.61662,1.20634,0.81898,0.00107289,0.00107289,0.00107289
17,21.9942,0.63568,0.65028,0.93707,0.99302,0.99935,0.99491,0.82844,0.69406,1.07687,0.8388,0.00112774,0.00112774,0.00112774
18,23.0684,0.60756,0.62592,0.9361,0.998,0.99766,0.995,0.88221,0.54545,0.81512,0.82031,0.00118101,0.00118101,0.00118101
19,24.2392,0.58631,0.57231,0.92985,0.99455,0.99297,0.995,0.88438,0.53666,0.7429,0.84267,0.0012327,0.0012327,0.0012327
20,25.2848,0.57548,0.58989,0.92674,0.98734,0.99532,0.99426,0.87777,0.55871,0.70093,0.86764,0.0012828,0.0012828,0.0012828
21,26.361,0.55865,0.57438,0.92761,1,0.99984,0.995,0.89429,0.53986,0.61122,0.83582,0.00133132,0.00133132,0.00133132
22,27.5492,0.59739,0.5926,0.91582,0.99302,0.99981,0.995,0.86904,0.57956,0.59117,0.84817,0.00137825,0.00137825,0.00137825
23,28.6126,0.6335,0.56353,0.92092,0.99302,0.99965,0.99486,0.88177,0.54213,0.56411,0.83351,0.0014236,0.0014236,0.0014236
24,29.6602,0.59354,0.57141,0.92696,0.99986,1,0.995,0.89744,0.49392,0.53153,0.80135,0.00146737,0.00146737,0.00146737
25,30.6829,0.60042,0.54432,0.91083,0.99989,1,0.995,0.89644,0.49613,0.52688,0.80112,0.00150955,0.00150955,0.00150955
26,31.6798,0.58107,0.58031,0.92434,0.99996,1,0.995,0.90008,0.47891,0.51545,0.81002,0.001505,0.001505,0.001505
27,32.7762,0.53513,0.51996,0.90231,0.99942,0.99766,0.995,0.89576,0.47923,0.50946,0.82292,0.0014852,0.0014852,0.0014852
28,33.8546,0.53666,0.5176,0.89111,0.99939,0.99766,0.995,0.91493,0.44063,0.4944,0.81112,0.0014654,0.0014654,0.0014654
29,34.8708,0.54541,0.5236,0.90097,0.99974,0.99766,0.995,0.91424,0.42836,0.48721,0.80175,0.0014456,0.0014456,0.0014456
30,35.8917,0.555,0.52653,0.90266,1,0.99966,0.995,0.89858,0.45552,0.47874,0.79922,0.0014258,0.0014258,0.0014258
31,36.879,0.53083,0.47301,0.89608,0.99911,1,0.995,0.89499,0.47081,0.49316,0.79306,0.001406,0.001406,0.001406
32,37.9846,0.50223,0.47542,0.88394,0.99965,1,0.995,0.90709,0.45772,0.49001,0.78966,0.0013862,0.0013862,0.0013862
33,39.0513,0.52581,0.46738,0.87647,0.9997,1,0.995,0.90212,0.46788,0.44833,0.79269,0.0013664,0.0013664,0.0013664
34,40.1345,0.52795,0.47627,0.89179,0.99981,1,0.995,0.91532,0.4226,0.40709,0.78533,0.0013466,0.0013466,0.0013466
35,41.2913,0.49365,0.45466,0.87895,0.9999,1,0.995,0.90834,0.47535,0.41183,0.79275,0.0013268,0.0013268,0.0013268
36,42.3656,0.5918,0.48857,0.89338,0.99985,1,0.995,0.90283,0.4912,0.43101,0.79571,0.001307,0.001307,0.001307
37,43.4061,0.53737,0.46537,0.89902,0.99982,1,0.995,0.91475,0.45521,0.41941,0.78933,0.0012872,0.0012872,0.0012872
38,44.43,0.51362,0.47336,0.89468,0.99983,1,0.995,0.91323,0.43414,0.39102,0.79057,0.0012674,0.0012674,0.0012674
39,45.5679,0.49839,0.43936,0.87639,0.99981,1,0.995,0.91529,0.42621,0.38866,0.788,0.0012476,0.0012476,0.0012476
40,46.7635,0.495,0.44594,0.87832,0.99982,1,0.995,0.92196,0.42425,0.40195,0.7826,0.0012278,0.0012278,0.0012278
41,48.049,0.50753,0.44863,0.87765,0.99982,1,0.995,0.92193,0.40542,0.39602,0.77979,0.001208,0.001208,0.001208
42,49.476,0.50456,0.44978,0.87559,0.99978,1,0.995,0.9083,0.43055,0.40211,0.79008,0.0011882,0.0011882,0.0011882
43,50.6296,0.49787,0.44149,0.88778,0.99983,1,0.995,0.91311,0.42208,0.40099,0.79139,0.0011684,0.0011684,0.0011684
44,51.7541,0.48288,0.44711,0.87395,0.99981,1,0.995,0.92532,0.40111,0.4006,0.78555,0.0011486,0.0011486,0.0011486
45,52.9269,0.51311,0.44639,0.89103,0.99985,1,0.995,0.92295,0.39178,0.38589,0.78701,0.0011288,0.0011288,0.0011288
46,54.0995,0.46517,0.41465,0.86517,0.99987,1,0.995,0.91276,0.41235,0.38268,0.7929,0.001109,0.001109,0.001109
47,55.3787,0.46544,0.45685,0.86309,0.99986,1,0.995,0.91609,0.41073,0.37768,0.79839,0.0010892,0.0010892,0.0010892
48,56.5122,0.46897,0.44521,0.87057,0.99985,1,0.995,0.9282,0.37983,0.36832,0.78685,0.0010694,0.0010694,0.0010694
49,57.6548,0.45604,0.42662,0.87746,0.99989,1,0.995,0.91985,0.41317,0.3759,0.78672,0.0010496,0.0010496,0.0010496
