epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7067,1.13604,1.31613,1.14064,0.97965,0.98612,0.99164,0.72821,0.42966,43.1907,0.40048,0.000660066,0.000660066,0.000660066
2,32.5976,0.96219,0.6961,1.04391,0.96916,0.97289,0.99232,0.85464,0.2504,60.0966,0.35855,0.00130046,0.00130046,0.00130046
3,47.4401,0.92792,0.64714,1.03561,0.98042,0.99537,0.99449,0.84716,0.25638,146.621,0.35644,0.00191446,0.00191446,0.00191446
4,61.8059,0.91872,0.59989,1.0312,0.99852,1,0.995,0.89243,0.19752,23.3684,0.34428,0.0018812,0.0018812,0.0018812
5,76.2555,0.8743,0.53485,1.01122,0.98327,0.9994,0.99283,0.80153,0.32782,44.6561,0.38179,0.0018416,0.0018416,0.0018416
6,90.5813,0.86594,0.50229,1.00934,0.98868,0.99943,0.99484,0.89463,0.20344,155.987,0.34582,0.001802,0.001802,0.001802
7,104.811,0.84726,0.48053,0.99687,0.99819,0.99909,0.995,0.89277,0.20468,32.9695,0.34467,0.0017624,0.0017624,0.0017624
8,119.04,0.83603,0.46682,0.99804,0.99475,1,0.995,0.89742,0.19414,58.8908,0.34215,0.0017228,0.0017228,0.0017228
9,133.283,0.78169,0.43435,0.97295,0.99977,1,0.995,0.9055,0.18476,14.7078,0.33952,0.0016832,0.0016832,0.0016832
10,147.729,0.77615,0.42867,0.97022,0.9996,1,0.995,0.89343,0.21146,25.7773,0.34596,0.0016436,0.0016436,0.0016436
11,161.961,0.76929,0.42372,0.9724,0.99701,0.9994,0.995,0.68627,0.51699,20.7008,0.4402,0.001604,0.001604,0.001604
12,176.078,0.73671,0.40058,0.95905,0.99825,1,0.995,0.88941,0.21384,55.9227,0.3481,0.0015644,0.0015644,0.0015644
13,190.566,0.7605,0.41256,0.96941,0.99211,1,0.995,0.91523,0.18241,86.0446,0.33946,0.0015248,0.0015248,0.0015248
14,205.448,0.76058,0.40815,0.96719,0.99273,0.98715,0.99481,0.87558,0.22585,3.82232,0.35135,0.0014852,0.0014852,0.0014852
15,220.049,0.73759,0.38904,0.95369,0.99916,1,0.995,0.91969,0.17741,36.4518,0.33857,0.0014456,0.0014456,0.0014456
16,234.962,0.71222,0.38458,0.94903,0.99943,1,0.995,0.91059,0.18004,33.5124,0.33872,0.001406,0.001406,0.001406
17,250.08,0.70515,0.38177,0.94643,0.97734,1,0.99487,0.90509,0.19896,165.567,0.34365,0.0013664,0.0013664,0.0013664
18,264.633,0.69728,0.37765,0.94422,0.99836,0.99759,0.995,0.92759,0.16492,15.3628,0.33497,0.0013268,0.0013268,0.0013268
19,279.403,0.69428,0.36466,0.94398,0.99919,1,0.995,0.92381,0.1649,12.6802,0.33513,0.0012872,0.0012872,0.0012872
20,294.331,0.68344,0.36721,0.938,0.99992,1,0.995,0.93596,0.16104,0.56329,0.33525,0.0012476,0.0012476,0.0012476
21,309.301,0.67261,0.35464,0.93273,0.99139,1,0.99499,0.92693,0.16666,60.9457,0.33516,0.001208,0.001208,0.001208
22,324.318,0.66653,0.35097,0.93152,0.99566,1,0.995,0.93502,0.15355,39.3312,0.33232,0.0011684,0.0011684,0.0011684
23,339.254,0.67034,0.35811,0.93409,0.99825,1,0.995,0.89413,0.2134,16.7647,0.34577,0.0011288,0.0011288,0.0011288
24,354.185,0.6593,0.34815,0.9299,0.99747,1,0.995,0.93268,0.15846,14.7287,0.33316,0.0010892,0.0010892,0.0010892
25,368.791,0.64022,0.33914,0.92124,0.99986,1,0.995,0.93549,0.17028,3.05703,0.33644,0.0010496,0.0010496,0.0010496
26,383.528,0.64867,0.33907,0.92649,0.9964,0.99934,0.995,0.93861,0.15135,17.1822,0.33272,0.00101,0.00101,0.00101
27,398.18,0.63956,0.33508,0.92223,0.99705,1,0.995,0.92143,0.18115,27.5583,0.33754,0.0009704,0.0009704,0.0009704
28,412.798,0.61836,0.32752,0.91226,0.9996,1,0.995,0.93987,0.15383,3.38423,0.3329,0.0009308,0.0009308,0.0009308
29,427.487,0.6038,0.32136,0.90961,0.99736,1,0.995,0.94088,0.15395,10.3553,0.33321,0.0008912,0.0008912,0.0008912
30,442.645,0.6492,0.33425,0.92467,0.99816,1,0.995,0.93838,0.15282,5.5325,0.3326,0.0008516,0.0008516,0.0008516
31,458.267,0.59625,0.31859,0.91021,0.99992,1,0.995,0.936,0.16616,3.92947,0.33495,0.000812,0.000812,0.000812
32,473.304,0.59867,0.31865,0.91053,0.99977,1,0.995,0.93981,0.15727,3.58683,0.33262,0.0007724,0.0007724,0.0007724
33,488.227,0.60507,0.31888,0.91166,0.99985,1,0.995,0.93747,0.1598,2.42307,0.33262,0.0007328,0.0007328,0.0007328
34,509.389,0.58544,0.3118,0.90518,0.9976,0.99986,0.995,0.94606,0.14607,28.8994,0.33067,0.0006932,0.0006932,0.0006932
35,530.406,0.60028,0.31487,0.91133,0.9982,1,0.995,0.95149,0.14426,8.50913,0.33056,0.0006536,0.0006536,0.0006536
36,551.619,0.58586,0.30998,0.90519,0.99752,1,0.99498,0.95231,0.14134,10.6717,0.32997,0.000614,0.000614,0.000614
37,573.753,0.56758,0.30245,0.89762,0.99863,1,0.995,0.94286,0.15195,4.67793,0.33163,0.0005744,0.0005744,0.0005744
38,595.266,0.56684,0.29994,0.89979,0.9975,1,0.995,0.9552,0.13769,10.6447,0.3301,0.0005348,0.0005348,0.0005348
39,616.561,0.57165,0.30318,0.90176,0.99752,1,0.995,0.95444,0.13665,9.35851,0.32965,0.0004952,0.0004952,0.0004952
40,637.209,0.56577,0.29859,0.89759,0.99985,1,0.995,0.95426,0.13952,8.04296,0.32956,0.0004556,0.0004556,0.0004556
41,688.894,0.52042,0.25784,0.87375,1,0.99865,0.995,0.94914,0.14766,22.9468,0.33173,0.000416,0.000416,0.000416
42,708.737,0.51874,0.25837,0.86703,0.9994,0.99975,0.995,0.95397,0.13943,37.2593,0.32958,0.0003764,0.0003764,0.0003764
43,723.615,0.501,0.25219,0.86459,0.9988,0.99982,0.995,0.94753,0.14888,37.45,0.33175,0.0003368,0.0003368,0.0003368
44,737.28,0.48848,0.24577,0.85977,0.99955,1,0.995,0.95614,0.13757,15.2716,0.32958,0.0002972,0.0002972,0.0002972
45,750.953,0.4914,0.24736,0.86104,0.99914,1,0.995,0.95653,0.13484,10.5571,0.32908,0.0002576,0.0002576,0.0002576
46,764.923,0.47099,0.23905,0.8536,0.99913,1,0.995,0.95498,0.13997,13.797,0.32967,0.000218,0.000218,0.000218
