epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04342,1.22316,2.02069,1.21432,0.92015,0.96867,0.97562,0.76224,0.84637,1.19159,0.92639,0.0005,0.0005,0.0005
2,12.3452,1.0786,0.93472,1.13236,0.89503,0.96564,0.94315,0.7464,0.85521,1.06919,0.92222,0.00100557,0.00100557,0.00100557
3,17.6321,0.99842,0.78632,1.07156,0.94691,0.9759,0.97839,0.79901,0.74336,0.77919,0.86635,0.00149644,0.00149644,0.00149644
4,22.8242,1.03198,0.7445,1.07938,0.93253,0.92048,0.97175,0.77118,0.88704,0.80557,0.92518,0.00191514,0.00191514,0.00191514
5,28.0588,1.02144,0.8084,1.08936,0.98546,0.99036,0.99431,0.70268,1.1313,0.60847,1.032,0.00188686,0.00188686,0.00188686
6,33.7808,0.9375,0.68971,1.06386,0.9809,0.98984,0.99406,0.72605,1.01223,0.57681,0.95866,0.00185857,0.00185857,0.00185857
7,38.9834,0.93784,0.69686,1.04932,0.97416,0.99934,0.99369,0.83532,0.63138,0.67008,0.83363,0.00183029,0.00183029,0.00183029
8,44.0745,0.89891,0.63804,1.03496,0.81682,0.95631,0.86852,0.7798,0.46687,0.61978,0.79947,0.001802,0.001802,0.001802
9,48.737,0.84989,0.5873,1.01473,0.96596,0.99036,0.98725,0.87599,0.48887,0.49891,0.80435,0.00177371,0.00177371,0.00177371
10,53.415,0.84561,0.56521,1.0132,0.95576,0.97108,0.97485,0.88407,0.45676,0.5249,0.79889,0.00174543,0.00174543,0.00174543
11,58.3427,0.87464,0.57209,1.02575,1,0.99994,0.995,0.81716,0.76728,0.42531,0.87116,0.00171714,0.00171714,0.00171714
12,63.391,0.82926,0.54364,1.00926,0.98684,0.99518,0.9941,0.87253,0.53194,0.45184,0.82332,0.00168886,0.00168886,0.00168886
13,68.7512,0.82186,0.51169,0.99936,0.98946,1,0.99493,0.88577,0.50388,0.35754,0.81135,0.00166057,0.00166057,0.00166057
14,73.0318,0.81624,0.5331,0.99026,0.95515,0.99277,0.98653,0.89127,0.4501,0.39758,0.79779,0.00163229,0.00163229,0.00163229
15,77.1759,0.8955,0.51579,1.02467,0.97922,0.96867,0.99254,0.88801,0.48514,0.42305,0.81068,0.001604,0.001604,0.001604
16,81.3486,0.82941,0.49349,0.99436,0.97037,1,0.9916,0.87861,0.51993,0.38506,0.81242,0.00157571,0.00157571,0.00157571
17,85.4647,0.81416,0.48241,0.99312,0.99841,1,0.995,0.91034,0.44989,0.35227,0.7913,0.00154743,0.00154743,0.00154743
18,89.4138,0.78031,0.48469,0.9859,0.99982,1,0.995,0.91249,0.41238,0.3152,0.79236,0.00151914,0.00151914,0.00151914
19,93.3957,0.74444,0.47845,0.96886,0.98554,1,0.99414,0.90985,0.42311,0.33202,0.78758,0.00149086,0.00149086,0.00149086
20,97.4413,0.75942,0.49249,0.9705,0.99019,1,0.99434,0.91136,0.42092,0.34231,0.78704,0.00146257,0.00146257,0.00146257
21,101.529,0.79032,0.47873,0.98212,0.98247,1,0.99483,0.90928,0.429,0.4489,0.79061,0.00143429,0.00143429,0.00143429
22,105.6,0.7421,0.44966,0.97731,0.99638,1,0.995,0.92092,0.40584,0.29639,0.79096,0.001406,0.001406,0.001406
23,109.671,0.76244,0.44108,0.98919,0.97655,0.99759,0.99354,0.90613,0.42118,0.37428,0.79031,0.00137771,0.00137771,0.00137771
24,113.79,0.78423,0.43912,0.98302,0.99501,1,0.995,0.87907,0.52844,0.31988,0.8092,0.00134943,0.00134943,0.00134943
25,117.832,0.79073,0.44935,0.97862,0.9976,1,0.995,0.89286,0.46954,0.31537,0.80138,0.00132114,0.00132114,0.00132114
26,121.964,0.76601,0.42745,0.98847,0.99046,0.99759,0.995,0.89682,0.4823,0.38247,0.80012,0.00129286,0.00129286,0.00129286
27,126,0.73959,0.42415,0.96319,0.99835,1,0.995,0.88723,0.53707,0.30293,0.81814,0.00126457,0.00126457,0.00126457
28,130.102,0.72535,0.44351,0.96016,0.99861,1,0.995,0.90132,0.4734,0.31652,0.7994,0.00123629,0.00123629,0.00123629
29,134.168,0.80654,0.43854,0.99121,0.99893,1,0.995,0.91992,0.41917,0.26138,0.79499,0.001208,0.001208,0.001208
30,138.31,0.76106,0.45752,0.98915,0.99944,1,0.995,0.91243,0.4247,0.29553,0.78929,0.00117971,0.00117971,0.00117971
31,142.382,0.71804,0.40427,0.95526,0.99537,1,0.995,0.91471,0.4331,0.31031,0.79032,0.00115143,0.00115143,0.00115143
