epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74062,0.85928,2.95209,1.08686,0.03954,1,0.71441,0.52948,0.35124,9.41402,0.43017,0.0002,0.0002,0.0002
2,7.24059,0.78552,1.16269,0.94819,0.96745,0.97435,0.99247,0.783,0.33086,8.6335,0.41336,0.00039921,0.00039921,0.00039921
3,9.44804,0.714,0.83163,0.93757,0.99527,0.98463,0.99486,0.86993,0.27555,4.3122,0.4103,0.00057664,0.00057664,0.00057664
4,11.7185,0.63493,0.70261,0.92628,1,0.99927,0.995,0.87765,0.26603,3.94872,0.40855,0.00073229,0.00073229,0.00073229
5,13.9244,0.65664,0.65458,0.90815,0.99766,0.99942,0.995,0.85208,0.25556,3.42149,0.40042,0.00086616,0.00086616,0.00086616
6,16.1928,0.61353,0.63504,0.90444,0.99966,1,0.995,0.84795,0.2739,2.79107,0.40582,0.00097825,0.00097825,0.00097825
7,18.5788,0.61742,0.74807,0.90523,0.99998,1,0.995,0.90554,0.21987,2.82051,0.39445,0.00106856,0.00106856,0.00106856
8,20.8913,0.61497,0.59499,0.89694,0.99732,1,0.995,0.8985,0.22759,3.24756,0.39495,0.00113709,0.00113709,0.00113709
9,23.1807,0.58368,0.6339,0.89004,0.99923,0.99766,0.995,0.8947,0.22831,3.57853,0.3962,0.00118384,0.00118384,0.00118384
10,25.471,0.55276,0.6013,0.8841,1,0.99943,0.995,0.90708,0.20941,3.3093,0.3913,0.001109,0.001109,0.001109
11,56.6354,0.48686,0.76705,0.84841,1,0.99993,0.995,0.89752,0.23584,3.38398,0.39658,0.00101,0.00101,0.00101
12,59.1483,0.44387,17.6623,0.76036,0.99988,1,0.995,0.91713,0.20679,3.54279,0.39167,0.000911,0.000911,0.000911
13,61.1866,0.4695,0.55493,0.83393,0.99984,1,0.995,0.9146,0.20541,3.85469,0.39093,0.000812,0.000812,0.000812
14,63.2403,0.44304,0.49273,0.82929,0.99982,1,0.995,0.91566,0.20351,4.7617,0.39036,0.000713,0.000713,0.000713
15,65.2826,0.46219,0.49707,0.8353,0.99977,1,0.995,0.91603,0.20096,4.23392,0.38881,0.000614,0.000614,0.000614
16,67.4205,0.39135,10.7168,0.7575,0.99982,1,0.995,0.9135,0.20835,4.24126,0.39053,0.000515,0.000515,0.000515
17,69.5203,0.43283,0.4774,0.83664,0.99984,1,0.995,0.92228,0.19225,3.87275,0.38754,0.000416,0.000416,0.000416
18,71.4475,0.43054,0.44911,0.82944,0.99985,1,0.995,0.92176,0.19292,3.69176,0.38878,0.000317,0.000317,0.000317
19,73.3427,0.42135,0.46275,0.83169,0.99985,1,0.995,0.93329,0.18481,3.36832,0.38672,0.000218,0.000218,0.000218
20,75.5216,0.39954,0.4483,0.82302,0.99985,1,0.995,0.92712,0.18088,3.01767,0.38556,0.000119,0.000119,0.000119
